Año,Mes,Region,Frecuencia,fuente,AñoConsulta,MesConsulta
2018,Enero,Región de Arica y Parinacota,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Tarapacá,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Antofagasta,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Atacama,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Coquimbo,5,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Valparaíso,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región Metropolitana de Santiago,41,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región del Libertador Gral. Bernardo O’Higgins,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región del Maule,6,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Ñuble,0,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región del Biobío,5,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de La Araucanía,7,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Los Ríos,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Los Lagos,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Enero,Región de Magallanes y de la Antártica Chilena,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Enero
2018,Febrero,Región de Arica y Parinacota,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Tarapacá,0,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Antofagasta,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Atacama,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Coquimbo,6,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Valparaíso,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región Metropolitana de Santiago,39,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región del Libertador Gral. Bernardo O’Higgins,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región del Maule,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Ñuble,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región del Biobío,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de La Araucanía,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Los Ríos,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Los Lagos,3,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Aysén del Gral. Carlos Ibáñez del Campo,0,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Febrero,Región de Magallanes y de la Antártica Chilena,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Febrero
2018,Marzo,Región de Arica y Parinacota,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Tarapacá,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Antofagasta,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Atacama,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Coquimbo,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Valparaíso,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región Metropolitana de Santiago,46,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región del Libertador Gral. Bernardo O’Higgins,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región del Maule,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Ñuble,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región del Biobío,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de La Araucanía,4,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Los Ríos,2,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
2018,Marzo,Región de Los Lagos,1,"Ministerio Público, los cuales se extraen desde el sistema informático de apoyo a los Fiscales (SAF)",2018,Marzo
